5.175863625481724739e-04,-9.138840250670909882e-03,7.707834839820861816e-01,-4.114378988742828369e-02,-2.497343346476554871e-02,9.769033789634704590e-01,2.081905007362365723e-01,-5.124130249023437500e-01,1.524468958377838135e-01,5.132979899644851685e-02,7.634171843528747559e-01,-3.603430986404418945e-01,-5.961750075221061707e-02,-1.763458847999572754e-01,1.155250892043113708e-01,2.428628318011760712e-02,3.464414477348327637e-01,-2.819382250308990479e-01,7.523935288190841675e-02,2.789810001850128174e-01,-1.171221211552619934e-01,1.356425285339355469e-01,-6.750964522361755371e-01,-3.589371740818023682e-01,-1.675848066806793213e-01,-2.800717353820800781e-01,-1.522115021944046021e-01,8.190369606018066406e-01,-4.372827708721160889e-01,1.772870123386383057e-01,0.000000000000000000e+00
-4.356478806585073471e-03,-1.101641263812780380e-02,7.716803550720214844e-01,-6.458911299705505371e-02,-1.118612103164196014e-02,9.810071587562561035e-01,1.825596839189529419e-01,-5.884951949119567871e-01,8.532774448394775391e-02,-3.285537287592887878e-02,6.824420094490051270e-01,-3.241709768772125244e-01,-6.007170304656028748e-02,-2.524340152740478516e-01,8.325097709894180298e-02,-5.695248953998088837e-03,3.983973264694213867e-01,-3.134774863719940186e-01,7.748788595199584961e-02,2.323476672172546387e-01,-1.112246066331863403e-01,2.045800387859344482e-01,-7.202820777893066406e-01,-4.768910706043243408e-01,-8.313696831464767456e-02,-2.723066210746765137e-01,-2.539701163768768311e-01,8.264497518539428711e-01,-5.354869961738586426e-01,1.038100495934486389e-01,0.000000000000000000e+00
-1.003349199891090393e-02,-1.399715896695852280e-02,7.707355022430419922e-01,-6.739192456007003784e-02,-7.197601255029439926e-03,9.812825322151184082e-01,1.802529245615005493e-01,-5.914914608001708984e-01,7.178881019353866577e-02,-4.103208333253860474e-02,6.489424109458923340e-01,-3.140252530574798584e-01,-6.363476067781448364e-02,-2.617036104202270508e-01,6.790062785148620605e-02,-4.617267288267612457e-03,4.125159084796905518e-01,-3.327511250972747803e-01,7.654125988483428955e-02,2.240856885910034180e-01,-1.151804849505424500e-01,2.015472799539566040e-01,-7.256259322166442871e-01,-4.924966394901275635e-01,-7.118520140647888184e-02,-2.649787664413452148e-01,-2.695161104202270508e-01,8.185669779777526855e-01,-5.560141205787658691e-01,9.736379235982894897e-02,0.000000000000000000e+00
-1.732857711613178253e-02,-1.630174927413463593e-02,7.709388732910156250e-01,-6.784132868051528931e-02,-3.227954963222146034e-03,9.816439151763916016e-01,1.782198846340179443e-01,-5.797523856163024902e-01,5.818942561745643616e-02,-4.769089818000793457e-02,5.893946886062622070e-01,-3.025696575641632080e-01,-6.616228073835372925e-02,-2.535445690155029297e-01,5.191423743963241577e-02,-2.835538471117615700e-03,4.084232747554779053e-01,-3.438967466354370117e-01,7.338107377290725708e-02,2.149761319160461426e-01,-1.189975813031196594e-01,1.954458355903625488e-01,-7.356682419776916504e-01,-4.972732067108154297e-01,-6.144282221794128418e-02,-2.580314278602600098e-01,-2.789795994758605957e-01,8.137524127960205078e-01,-5.582291483879089355e-01,9.289640933275222778e-02,0.000000000000000000e+00
-2.619243413209915161e-02,-1.773367635905742645e-02,7.702014446258544922e-01,-6.734816730022430420e-02,-7.170566241256892681e-04,9.819027185440063477e-01,1.770049929618835449e-01,-5.618809461593627930e-01,4.796227067708969116e-02,-4.793551936745643616e-02,5.483813881874084473e-01,-2.992244660854339600e-01,-6.518450379371643066e-02,-2.425713986158370972e-01,3.927482292056083679e-02,7.073044798744376749e-06,4.095538854598999023e-01,-3.595046997070312500e-01,7.020115852355957031e-02,2.071830928325653076e-01,-1.236700192093849182e-01,1.861444115638732910e-01,-7.422031164169311523e-01,-4.980612695217132568e-01,-5.652729049324989319e-02,-2.507766783237457275e-01,-2.832876741886138916e-01,8.096941709518432617e-01,-5.532451272010803223e-01,8.993673324584960938e-02,0.000000000000000000e+00
-3.443301096558570862e-02,-1.894033141434192657e-02,7.680711746215820312e-01,-6.500466167926788330e-02,4.663049185182899237e-04,9.821078777313232422e-01,1.767435222864151001e-01,-5.470672249794006348e-01,3.851577267050743103e-02,-4.671594500541687012e-02,5.391902923583984375e-01,-2.993187308311462402e-01,-6.037355214357376099e-02,-2.372012436389923096e-01,3.004101291298866272e-02,7.750806398689746857e-03,4.282600283622741699e-01,-3.824470043182373047e-01,6.558424234390258789e-02,1.997261345386505127e-01,-1.242081820964813232e-01,1.803217977285385132e-01,-7.448535561561584473e-01,-4.995026290416717529e-01,-5.841023102402687073e-02,-2.401912510395050049e-01,-2.858235538005828857e-01,8.062363266944885254e-01,-5.498364567756652832e-01,9.684387594461441040e-02,0.000000000000000000e+00
-4.351380467414855957e-02,-2.117559686303138733e-02,7.662269473075866699e-01,-6.153596937656402588e-02,-1.861564378486946225e-04,9.817379713058471680e-01,1.800107657909393311e-01,-5.249512791633605957e-01,2.739571593701839447e-02,-5.037033930420875549e-02,5.341874957084655762e-01,-2.942485213279724121e-01,-5.344510078430175781e-02,-2.252932488918304443e-01,2.383764274418354034e-02,2.127665467560291290e-02,4.402739107608795166e-01,-3.981489837169647217e-01,6.264135241508483887e-02,1.968268007040023804e-01,-1.265596300363540649e-01,1.726876497268676758e-01,-7.464177012443542480e-01,-4.955738782882690430e-01,-5.539594590663909912e-02,-2.249963879585266113e-01,-2.873003780841827393e-01,8.007540702819824219e-01,-5.353979468345642090e-01,9.946488589048385620e-02,0.000000000000000000e+00
-5.692460760474205017e-02,-2.221493609249591827e-02,7.641912698745727539e-01,-5.925975739955902100e-02,-3.579118347261101007e-04,9.813424348831176758e-01,1.829076409339904785e-01,-4.992115497589111328e-01,1.873665116727352142e-02,-4.594107717275619507e-02,5.439507365226745605e-01,-2.883459031581878662e-01,-4.413511604070663452e-02,-2.095372527837753296e-01,1.620053686201572418e-02,3.369707986712455750e-02,4.533685147762298584e-01,-4.119684696197509766e-01,6.489144265651702881e-02,1.946762353181838989e-01,-1.319072395563125610e-01,1.690152734518051147e-01,-7.383297085762023926e-01,-4.943971633911132812e-01,-5.660592392086982727e-02,-1.994724422693252563e-01,-2.930402755737304688e-01,7.814383506774902344e-01,-5.252307653427124023e-01,1.069086417555809021e-01,0.000000000000000000e+00
-6.755661964416503906e-02,-2.522459067404270172e-02,7.626659274101257324e-01,-5.635922029614448547e-02,7.298843120224773884e-04,9.812483191490173340e-01,1.843227297067642212e-01,-4.801039695739746094e-01,8.836961351335048676e-03,-3.712232410907745361e-02,5.507569909095764160e-01,-3.046611547470092773e-01,-3.005977161228656769e-02,-2.015689462423324585e-01,2.579394960775971413e-03,3.724227473139762878e-02,4.740797579288482666e-01,-4.211710095405578613e-01,6.992509216070175171e-02,1.877316832542419434e-01,-1.339128017425537109e-01,1.596843153238296509e-01,-7.383071184158325195e-01,-4.902605116367340088e-01,-5.598354339599609375e-02,-1.733711212873458862e-01,-3.008627295494079590e-01,7.711037993431091309e-01,-5.179623961448669434e-01,1.063541024923324585e-01,0.000000000000000000e+00
-7.623805105686187744e-02,-2.746495790779590607e-02,7.613638639450073242e-01,-5.255677551031112671e-02,3.578296629711985588e-03,9.815688133239746094e-01,1.837051957845687866e-01,-4.601317644119262695e-01,-4.731527995318174362e-03,-3.114271722733974457e-02,5.516478419303894043e-01,-3.194184303283691406e-01,-1.809741929173469543e-02,-1.969326436519622803e-01,-1.345045398920774460e-02,3.923926129937171936e-02,5.000163316726684570e-01,-4.303378760814666748e-01,7.429146766662597656e-02,1.811214536428451538e-01,-1.357485502958297729e-01,1.514814496040344238e-01,-7.340512871742248535e-01,-4.906645715236663818e-01,-5.624917522072792053e-02,-1.461549550294876099e-01,-3.133204579353332520e-01,7.510769367218017578e-01,-5.135015249252319336e-01,1.053743883967399597e-01,0.000000000000000000e+00
-8.706139773130416870e-02,-3.305794298648834229e-02,7.602887749671936035e-01,-4.879843071103096008e-02,5.523996427655220032e-03,9.817227721214294434e-01,1.838710755109786987e-01,-4.350886642932891846e-01,-2.116405032575130463e-02,-2.009480074048042297e-02,5.470412373542785645e-01,-3.356290459632873535e-01,-4.002986475825309753e-03,-1.954493820667266846e-01,-3.279076889157295227e-02,4.569951444864273071e-02,5.328230261802673340e-01,-4.286524951457977295e-01,8.324345946311950684e-02,1.674268245697021484e-01,-1.379568278789520264e-01,1.413033008575439453e-01,-7.307352423667907715e-01,-4.843580424785614014e-01,-5.766832083463668823e-02,-1.137631684541702271e-01,-3.316564559936523438e-01,7.332490682601928711e-01,-5.046838521957397461e-01,1.061778888106346130e-01,0.000000000000000000e+00
